date,best_learning_rate_xgboost,best_max_depth_xgboost,best_n_estimators_xgboost,best_reg_lambda_xgboost,best_subsample_xgboost,best_colsample_xgboost,best_depth_random_forest,best_n_estimators_random_forest,best_min_leaf_random_forest
2022-01-03,0.050000,1,100,3,1.000000,0.700000,2,135,5
2022-02-01,0.050000,1,100,5,0.700000,0.700000,3,200,2
2022-03-01,0.050000,1,100,5,0.700000,0.700000,1,100,3
2022-04-01,0.050000,1,100,5,1.000000,0.700000,4,135,2
2022-05-02,0.050000,1,100,5,1.000000,1.000000,5,200,4
2022-06-01,0.050000,1,100,5,1.000000,1.000000,1,100,2
2022-07-01,0.050000,1,100,5,1.000000,1.000000,1,200,2
2022-08-01,0.050000,1,100,1,1.000000,1.000000,1,200,2
2022-09-01,0.050000,1,100,1,1.000000,1.000000,1,135,2
2022-10-03,0.050000,2,100,3,1.000000,1.000000,1,135,2
2022-11-01,0.050000,1,100,3,1.000000,1.000000,1,100,2
2022-12-01,0.050000,1,100,3,1.000000,0.700000,1,200,2
2023-01-03,0.050000,1,100,3,1.000000,1.000000,1,200,2
2023-02-01,0.050000,1,100,5,1.000000,1.000000,1,200,2
2023-03-01,0.050000,1,100,5,1.000000,1.000000,1,135,2
2023-04-03,0.050000,1,100,5,1.000000,0.700000,1,200,2
2023-05-01,0.050000,2,100,1,1.000000,1.000000,1,200,2
2023-06-01,0.050000,1,100,5,1.000000,0.700000,1,135,4
2023-07-03,0.050000,1,100,1,1.000000,1.000000,1,100,3
2023-08-01,0.050000,1,100,5,1.000000,1.000000,1,100,4
2023-09-01,0.050000,1,100,5,1.000000,0.700000,1,135,2
2023-10-02,0.050000,1,100,1,1.000000,1.000000,1,200,2
2023-11-01,0.100000,1,100,3,0.700000,0.700000,1,100,2
2023-12-01,0.050000,1,100,3,1.000000,0.700000,1,100,4
2024-01-02,0.050000,1,100,3,1.000000,0.700000,1,200,2
2024-02-01,0.050000,1,100,5,1.000000,1.000000,1,200,2
2024-03-01,0.050000,1,100,5,1.000000,0.700000,1,100,2
2024-04-01,0.050000,1,100,5,1.000000,0.700000,1,200,2
2024-05-01,0.050000,1,100,5,1.000000,1.000000,2,135,2
2024-06-03,0.050000,1,100,5,1.000000,1.000000,1,135,5
2024-07-01,0.050000,1,100,3,0.700000,0.700000,2,200,5
2024-08-01,0.050000,1,100,3,0.700000,0.700000,2,100,3
2024-09-03,0.050000,1,100,5,1.000000,0.700000,1,135,2
2024-10-01,0.050000,2,100,1,1.000000,0.700000,2,200,2
2024-11-01,0.050000,1,100,3,1.000000,1.000000,2,200,4
2024-12-02,0.050000,1,100,5,1.000000,1.000000,3,200,2
2025-01-02,0.050000,2,100,5,1.000000,1.000000,2,100,3
2025-02-03,0.050000,1,100,1,1.000000,1.000000,2,135,5
