rebalance_date,invest_year,select_year,ticker,assigned_weight,hrp_success,turnover,tc_drag_bps
2004-07-01,2004,2003,UPS,0.05,False,0.0,0.0
2004-07-01,2004,2003,HD,0.05,False,0.0,0.0
2005-01-03,2005,2004,XOM,0.07005673947090532,True,0.543393,0.0
2005-01-03,2005,2004,MSFT,0.01726628663212972,True,0.0,0.0
2005-01-03,2005,2004,C,0.018206446591562522,True,0.0,0.0
2005-01-03,2005,2004,GE,0.03538801832632141,True,0.0,0.0
2005-01-03,2005,2004,WMT,0.04026393283104987,True,0.0,0.0
2005-01-03,2005,2004,BAC,0.023293268948322378,True,0.0,0.0
2005-01-03,2005,2004,PFE,0.04462290076576402,True,0.0,0.0
2005-01-03,2005,2004,JNJ,0.09121192398198864,True,0.0,0.0
2005-01-03,2005,2004,IBM,0.04324361331153268,True,0.0,0.0
2005-01-03,2005,2004,INTC,0.010000000000000002,True,0.0,0.0
2005-01-03,2005,2004,AIG,0.040229601985874115,True,0.0,0.0
2005-01-03,2005,2004,PG,0.07704654070834943,True,0.0,0.0
2005-01-03,2005,2004,JPM,0.022532150519063678,True,0.0,0.0
2005-01-03,2005,2004,CSCO,0.012422161959822778,True,0.0,0.0
2005-01-03,2005,2004,VZ,0.06777513183685648,True,0.0,0.0
2005-01-03,2005,2004,CVX,0.10000000000000003,True,0.0,0.0
2005-01-03,2005,2004,WFC,0.07616498215523315,True,0.0,0.0
2005-01-03,2005,2004,KO,0.085314536298866,True,0.0,0.0
2005-01-03,2005,2004,UPS,0.10000000000000003,True,0.0,0.0
2005-01-03,2005,2004,HD,0.024961763676357888,True,0.0,0.0
2005-07-01,2005,2004,XOM,0.07262483608311511,True,0.198555,0.0
2005-07-01,2005,2004,MSFT,0.023776940857520305,True,0.0,0.0
2005-07-01,2005,2004,C,0.02725195661313215,True,0.0,0.0
2005-07-01,2005,2004,GE,0.01778038617862826,True,0.0,0.0
2005-07-01,2005,2004,WMT,0.04396180554221506,True,0.0,0.0
2005-07-01,2005,2004,BAC,0.04213490993695884,True,0.0,0.0
2005-07-01,2005,2004,PFE,0.06091112593515198,True,0.0,0.0
2005-07-01,2005,2004,JNJ,0.07808781053455537,True,0.0,0.0
2005-07-01,2005,2004,IBM,0.03663095971567019,True,0.0,0.0
2005-07-01,2005,2004,INTC,0.010000000000000002,True,0.0,0.0
2005-07-01,2005,2004,AIG,0.04439104435108264,True,0.0,0.0
2005-07-01,2005,2004,PG,0.0841925299564398,True,0.0,0.0
2005-07-01,2005,2004,JPM,0.012280854223860879,True,0.0,0.0
2005-07-01,2005,2004,CSCO,0.010000000000000002,True,0.0,0.0
2005-07-01,2005,2004,VZ,0.06230887563544801,True,0.0,0.0
2005-07-01,2005,2004,CVX,0.0815931583997189,True,0.0,0.0
2005-07-01,2005,2004,WFC,0.06944081773319813,True,0.0,0.0
2005-07-01,2005,2004,KO,0.10000000000000002,True,0.0,0.0
2005-07-01,2005,2004,UPS,0.10000000000000002,True,0.0,0.0
2005-07-01,2005,2004,HD,0.022631988303304516,True,0.0,0.0
2006-01-03,2006,2005,XOM,0.07503914606856742,True,0.444444,0.0
2006-01-03,2006,2005,MSFT,0.032350460302168496,True,0.0,0.0
2006-01-03,2006,2005,C,0.02031969726330135,True,0.0,0.0
2006-01-03,2006,2005,GE,0.0210318591803654,True,0.0,0.0
2006-01-03,2006,2005,WMT,0.03426881107022671,True,0.0,0.0
2006-01-03,2006,2005,BAC,0.055437515774681236,True,0.0,0.0
2006-01-03,2006,2005,JNJ,0.1,True,0.0,0.0
2006-01-03,2006,2005,PFE,0.06509813925755904,True,0.0,0.0
2006-01-03,2006,2005,INTC,0.01439973392560985,True,0.0,0.0
2006-01-03,2006,2005,AIG,0.03684372755358761,True,0.0,0.0
2006-01-03,2006,2005,JPM,0.025456845555117635,True,0.0,0.0
2006-01-03,2006,2005,PG,0.1,True,0.0,0.0
2006-01-03,2006,2005,CVX,0.08438520959413824,True,0.0,0.0
2006-01-03,2006,2005,IBM,0.03864499111917035,True,0.0,0.0
2006-01-03,2006,2005,CSCO,0.012021113827769438,True,0.0,0.0
2006-01-03,2006,2005,WFC,0.08391630874659248,True,0.0,0.0
2006-01-03,2006,2005,PEP,0.07008742459314726,True,0.0,0.0
2006-01-03,2006,2005,AMGN,0.03906630611526044,True,0.0,0.0
2006-01-03,2006,2005,KO,0.07362713932918112,True,0.0,0.0
2006-01-03,2006,2005,HD,0.018005570723555978,True,0.0,0.0
2006-07-03,2006,2005,XOM,0.04330056640978458,True,0.301526,0.0
2006-07-03,2006,2005,MSFT,0.02220070883869242,True,0.0,0.0
2006-07-03,2006,2005,C,0.03212389683566438,True,0.0,0.0
2006-07-03,2006,2005,GE,0.024012102039539737,True,0.0,0.0
2006-07-03,2006,2005,WMT,0.0614057240147687,True,0.0,0.0
2006-07-03,2006,2005,BAC,0.03877353894317688,True,0.0,0.0
2006-07-03,2006,2005,JNJ,0.081927467227214,True,0.0,0.0
2006-07-03,2006,2005,PFE,0.050686717627637816,True,0.0,0.0
2006-07-03,2006,2005,INTC,0.024215581790353612,True,0.0,0.0
2006-07-03,2006,2005,AIG,0.03782996360555899,True,0.0,0.0
2006-07-03,2006,2005,JPM,0.02388354455634468,True,0.0,0.0
2006-07-03,2006,2005,PG,0.1,True,0.0,0.0
2006-07-03,2006,2005,CVX,0.04811947203065268,True,0.0,0.0
2006-07-03,2006,2005,IBM,0.02801699079449969,True,0.0,0.0
2006-07-03,2006,2005,CSCO,0.02247365953064489,True,0.0,0.0
2006-07-03,2006,2005,WFC,0.08955609196715,True,0.0,0.0
2006-07-03,2006,2005,PEP,0.09198627383669478,True,0.0,0.0
2006-07-03,2006,2005,AMGN,0.04813587630932966,True,0.0,0.0
2006-07-03,2006,2005,KO,0.1,True,0.0,0.0
2006-07-03,2006,2005,HD,0.0313518236422925,True,0.0,0.0
