rebalance_date,invest_year,select_year,ticker,assigned_weight,turnover,tc_drag_bps,best_depth,best_n_est,best_min_leaf,best_min_samples_split,val_R2_selected
2023-01-03,2023,2022,WMT,0.05031613108715642,0.0,0.0,1,180,10,2,0.12123
2023-01-03,2023,2022,V,0.04841854002111563,0.0,0.0,1,180,10,2,0.12123
2023-01-03,2023,2022,MA,0.018255898080834408,0.0,0.0,1,180,10,2,0.12123
2023-01-03,2023,2022,CVX,0.018140340839072185,0.0,0.0,1,180,10,2,0.12123
2023-01-03,2023,2022,XOM,0.017018637493528922,0.0,0.0,1,180,10,2,0.12123
2023-01-03,2023,2022,PG,0.011771411852641765,0.0,0.0,1,180,10,2,0.12123
2023-01-03,2023,2022,JPM,0.009999012731136613,0.0,0.0,1,180,10,2,0.12123
2023-02-01,2023,2022,LLY,0.08379814188736741,0.743753,0.0,1,135,4,5,-0.062264
2023-02-01,2023,2022,WMT,0.07717092146699206,0.0,0.0,1,135,4,5,-0.062264
2023-02-01,2023,2022,UNH,0.0770053362766837,0.0,0.0,1,135,4,5,-0.062264
2023-02-01,2023,2022,JPM,0.07442776945616214,0.0,0.0,1,135,4,5,-0.062264
2023-02-01,2023,2022,XOM,0.06981716319743941,0.0,0.0,1,135,4,5,-0.062264
2023-02-01,2023,2022,JNJ,0.06923916657403681,0.0,0.0,1,135,4,5,-0.062264
2023-02-01,2023,2022,BRK-B,0.06720859337754269,0.0,0.0,1,135,4,5,-0.062264
2023-02-01,2023,2022,CVX,0.06321234930441322,0.0,0.0,1,135,4,5,-0.062264
2023-02-01,2023,2022,PFE,0.06272814305542987,0.0,0.0,1,135,4,5,-0.062264
2023-02-01,2023,2022,PG,0.06198253602278197,0.0,0.0,1,135,4,5,-0.062264
2023-02-01,2023,2022,V,0.050766153598905954,0.0,0.0,1,135,4,5,-0.062264
2023-02-01,2023,2022,HD,0.04706982026713615,0.0,0.0,1,135,4,5,-0.062264
2023-02-01,2023,2022,MA,0.04379468444802208,0.0,0.0,1,135,4,5,-0.062264
2023-02-01,2023,2022,AAPL,0.04272886051117654,0.0,0.0,1,135,4,5,-0.062264
2023-02-01,2023,2022,MSFT,0.03389797418615255,0.0,0.0,1,135,4,5,-0.062264
