rebalance_date,invest_year,select_year,n_stocks,RMSE,MSE,MAE,R2_rank,R2_raw_vs_zero,Spearman,Directional_Accuracy,Geometric_Score,best_learning_rate,best_max_depth,best_n_estimators,best_reg_lambda,best_subsample,best_colsample,val_R2_selected,turnover,tc_drag_bps
2018-01-02,2018,2017,20,0.2797892802799516,0.0782820413595733,0.2442965716123581,0.0582611565765615,-37.45327216112936,0.2581860885488455,0.45,0.3922322702763681,0.05,1,100,5,1.0,1.0,0.0187598493626731,0.5331758421913622,0.0
2018-04-02,2018,2017,20,0.2985365074997503,0.0891240463101485,0.2607337594032287,-0.0721689781672001,-14.567222726930634,-0.1363982385393492,0.65,0.5863019699779287,0.1,1,100,5,1.0,1.0,0.0502001471554306,0.2762611270183772,0.0
2018-07-02,2018,2017,20,0.3084204934950361,0.0951232008077215,0.2599033325910568,-0.1443392578372517,-14.822189365355705,-0.4007540063242109,0.6,0.0,0.05,1,100,5,1.0,0.7,0.0360695905434271,0.2578210516253417,0.0
2018-10-01,2018,2017,20,0.305020568621619,0.0930375472822557,0.2596044611930846,-0.1192486891098438,-19.91148025900123,-0.2054401759876652,0.4,0.5423261445466404,0.05,1,200,5,1.0,1.0,0.0199221724769497,0.2158060821843566,0.0
2019-01-02,2019,2018,20,0.263377496095879,0.0693677054497348,0.2288904529809952,0.1655012878227391,-11.26991494556449,0.5329833856082639,0.75,0.8498365855987975,0.05,1,100,5,1.0,1.0,-0.0224803287366484,0.3606173991179492,0.0
2019-04-01,2019,2018,20,0.2926803960048986,0.0856618142055843,0.2528712201118469,-0.0305180656310892,-45.07205198086567,0.0193969286820851,0.7,0.0,0.05,1,100,1,1.0,1.0,-0.0183610024446383,0.2438205285326224,0.0
2019-07-01,2019,2018,20,0.3032254633532326,0.0919456816257826,0.2625880461931228,-0.1061134631673093,-42.23061243208904,-0.1413533834586466,0.5,0.458257569495584,0.05,1,100,1,0.7,0.7,0.0070608689564549,0.0993608333419228,0.0
2019-10-01,2019,2018,20,0.269075325489325,0.0724015307871861,0.236277727484703,0.1290041409060307,-6.525468715691894,0.5518796992481202,1.0,,0.05,1,100,5,0.7,0.7,0.0022845472213258,0.1220704551836437,0.0
2020-01-02,2020,2019,20,0.3022021709828102,0.0913261521467236,0.2565919893980026,-0.0986604769530665,-10.87979205756176,-0.4024124827624999,0.25,0.4588314677411235,0.05,1,100,5,1.0,0.7,-0.0358038573953918,0.629012757588114,0.0
2020-04-01,2020,2019,20,0.2696445501794035,0.0727081834414528,0.2398545515537261,0.1253150864186123,-0.5955607777598966,0.2556390977443609,0.7,,0.05,1,100,5,0.7,0.7,-0.0390929280083123,0.3524563363022012,0.0
