rebalance_date,invest_year,select_year,n_stocks,best_nodes,best_batch,best_lr,best_val_loss,RMSE,MSE,MAE,R2_rank,R2_raw_vs_zero,Spearman,Directional_Accuracy,Geometric_Score,turnover,tc_drag_bps
2009-03-02,2009,2008,19,16.000000,32.000000,0.010000,0.045644,0.267234,0.071414,0.227594,0.140650,-4.370466,0.409892,0.526316,,0.708498,0.000000
2009-04-01,2009,2008,19,16.000000,32.000000,0.010000,0.044664,0.294361,0.086649,0.253329,-0.042672,-11.924174,0.224561,0.578947,0.583874,0.462316,0.000000
2009-05-01,2009,2008,19,16.000000,64.000000,0.010000,0.045052,0.294457,0.086705,0.256581,-0.043350,-19.887352,0.017544,0.421053,0.500000,0.655238,0.000000
2009-06-01,2009,2008,19,16.000000,64.000000,0.010000,0.047535,0.306464,0.093920,0.253572,-0.130175,-50.886466,0.291228,0.578947,0.000000,0.327937,0.000000
2009-07-01,2009,2008,19,16.000000,32.000000,0.010000,0.045104,0.301906,0.091147,0.266524,-0.096808,-23.765181,0.101754,0.263158,0.342997,0.675337,0.000000
2009-08-03,2009,2008,19,16.000000,32.000000,0.010000,0.046146,0.310658,0.096508,0.251185,-0.161319,-139.325398,-0.054869,0.526316,0.483046,0.596072,0.000000
2009-09-01,2009,2008,19,16.000000,32.000000,0.010000,0.045765,0.294305,0.086616,0.249506,-0.042275,-29.479848,-0.121053,0.368421,0.408248,0.476824,0.000000
2009-10-01,2009,2008,19,16.000000,64.000000,0.010000,0.045807,0.317437,0.100766,0.269300,-0.212553,-47.997002,-0.363158,0.210526,0.000000,0.693480,0.000000
2009-11-02,2009,2008,19,16.000000,32.000000,0.010000,0.044654,0.307126,0.094326,0.245755,-0.135058,-70.178846,-0.143860,0.526316,0.000000,0.641339,0.000000
2009-12-01,2009,2008,19,16.000000,32.000000,0.010000,0.045054,0.287051,0.082398,0.256715,0.008476,-149.008047,0.171930,0.526316,0.516398,0.478245,0.000000
2010-01-04,2010,2009,20,16.000000,64.000000,0.010000,0.044274,0.296269,0.087775,0.255230,-0.055945,-46.975515,0.036090,0.750000,0.523937,0.792236,0.000000
2010-02-01,2010,2009,20,16.000000,32.000000,0.010000,0.045893,0.284401,0.080884,0.216737,0.026963,-204.930414,0.233083,0.500000,0.460566,0.450484,0.000000
2010-03-01,2010,2009,20,16.000000,64.000000,0.010000,0.043758,0.293207,0.085970,0.254339,-0.034229,-49.385551,0.112782,0.300000,0.420084,0.642976,0.000000
2010-04-01,2010,2009,20,16.000000,32.000000,0.010000,0.044139,0.313908,0.098538,0.285581,-0.185423,-107.057230,-0.327820,0.150000,0.000000,0.575374,0.000000
2010-05-03,2010,2009,20,16.000000,32.000000,0.010000,0.043657,0.269091,0.072410,0.231571,0.128901,-33.415142,0.445113,0.650000,,0.526215,0.000000
2010-06-01,2010,2009,20,16.000000,32.000000,0.010000,0.041536,0.277594,0.077059,0.231315,0.072979,-101.984799,0.144361,0.300000,0.396059,0.458237,0.000000
2010-07-01,2010,2009,20,16.000000,64.000000,0.010000,0.043981,0.290028,0.084116,0.250642,-0.011924,-25.176239,0.069173,0.150000,0.000000,0.508300,0.000000
2010-08-02,2010,2009,20,16.000000,32.000000,0.010000,0.043743,0.294248,0.086582,0.248739,-0.041589,-42.612865,0.127820,0.450000,0.523937,0.589737,0.000000
2010-09-01,2010,2009,20,16.000000,32.000000,0.010000,0.043814,0.320742,0.102876,0.272763,-0.237603,-43.949480,-0.233083,0.650000,0.000000,0.404079,0.000000
