rebalance_date,ticker,assigned_weight,updated_mktcap_bn,turnover_at_rebalance
2015-01-02,XOM,0.07261841768211165,388.38,0.0
2015-01-02,MSFT,0.07137501565938638,381.73,0.0
2015-01-02,BRK-B,0.06917615734551431,369.97,0.0
2015-01-02,GOOGL,0.06757001849209925,361.38,0.0
2015-01-02,JNJ,0.0544142641584225,291.02,0.0
2015-01-02,WFC,0.0529932332753079,283.42,0.0
2015-01-02,WMT,0.051759180139971536,276.82,0.0
2015-01-02,PG,0.046002135285879625,246.03,0.0
2015-01-02,JPM,0.04346858680348451,232.48,0.0
2015-01-02,META,0.040525557053455064,216.74,0.0
2015-01-02,CVX,0.039433607006430164,210.9,0.0
2015-01-02,ORCL,0.03692062607629066,197.46,0.0
2015-01-02,VZ,0.03634286483565591,194.37,0.0
2015-01-02,BAC,0.035189212131864184,188.2,0.0
2015-01-02,PFE,0.03472363753989637,185.71,0.0
2015-01-02,KO,0.03446560824796241,184.33,0.0
2015-01-02,INTC,0.03221626594219022,172.3,0.0
2015-01-02,C,0.0305951688689529,163.63,0.0
2015-01-02,DIS,0.029938876974251294,160.12,0.0
2016-01-04,AAPL,0.10656940970256895,583.67,0.25036602428893906
2016-01-04,GOOGL,0.09766108565064177,534.88,0.0
2016-01-04,MSFT,0.08027898993956435,439.68,0.0
2016-01-04,BRK-B,0.05942777848783071,325.48,0.0
2016-01-04,XOM,0.0591502492285782,323.96,0.0
2016-01-04,AMZN,0.05812412130949989,318.34,0.0
2016-01-04,META,0.05415654841242308,296.61,0.0
2016-01-04,JNJ,0.05189614562982709,284.23,0.0
2016-01-04,WFC,0.05053953879019153,276.8,0.0
2016-01-04,JPM,0.044161843378553556,241.87,0.0
2016-01-04,PG,0.03921926637331337,214.8,0.0
2016-01-04,WMT,0.03583779145136847,196.28,0.0
2016-01-04,PFE,0.03449031386368201,188.9,0.0
2016-01-04,VZ,0.03437163358834377,188.25,0.0
2016-01-04,KO,0.03391699684127882,185.76,0.0
2016-01-04,V,0.033756322006974745,184.88,0.0
2016-01-04,GE,0.03190125801091858,174.72,0.0
2016-01-04,BAC,0.031897606310138944,174.7,0.0
2016-01-04,DIS,0.03171502127115704,173.7,0.0
2016-01-04,CVX,0.030928079753145023,169.39,0.0
2017-01-03,AAPL,0.10119085207576517,608.92,0.14217597728715292
2017-01-03,GOOGL,0.0907347520747681,546.0,0.0
2017-01-03,MSFT,0.08028862292564735,483.14,0.0
2017-01-03,BRK-B,0.06678975129371803,401.91,0.0
2017-01-03,XOM,0.062203159430597885,374.31,0.0
2017-01-03,AMZN,0.05921024205904739,356.3,0.0
2017-01-03,META,0.055100589277345895,331.57,0.0
2017-01-03,JNJ,0.052096039245272986,313.49,0.0
2017-01-03,JPM,0.05130834194704148,308.75,0.0
2017-01-03,WFC,0.04599221608830186,276.76,0.0
2017-01-03,PG,0.03739069453630554,225.0,0.0
2017-01-03,BAC,0.03712979057887442,223.43,0.0
2017-01-03,CVX,0.0369287117327014,222.22,0.0
2017-01-03,VZ,0.03616594156416077,217.63,0.0
2017-01-03,WMT,0.0353018010682106,212.43,0.0
2017-01-03,T,0.032860604167151364,197.74,0.0
2017-01-03,PFE,0.031039261891071767,186.78,0.0
2017-01-03,V,0.0299889988267631,180.46,0.0
2017-01-03,KO,0.02971646220880958,178.82,0.0
2017-01-03,INTC,0.02856316700844531,171.88,0.0
2018-01-02,AAPL,0.11302351287097,860.96,0.13323233626792785
2018-01-02,GOOGL,0.09610858112800344,732.11,0.0
2018-01-02,MSFT,0.08663438148586222,659.94,0.0
2018-01-02,AMZN,0.07397542247946513,563.51,0.0
2018-01-02,META,0.06731709622410413,512.79,0.0
2018-01-02,BRK-B,0.06419534941116084,489.01,0.0
2018-01-02,JNJ,0.049285004456825245,375.43,0.0
2018-01-02,JPM,0.048713953210555126,371.08,0.0
2018-01-02,XOM,0.046521641529472156,354.38,0.0
2018-01-02,BAC,0.040418613382553134,307.89,0.0
2018-01-02,WFC,0.039217436623157374,298.74,0.0
2018-01-02,WMT,0.03840221174055107,292.53,0.0
2018-01-02,V,0.03370777666776501,256.77,0.0
2018-01-02,CVX,0.031209591560518963,237.74,0.0
2018-01-02,PG,0.03060047023116417,233.1,0.0
2018-01-02,HD,0.029060601008463374,221.37,0.0
2018-01-02,INTC,0.028359586375111094,216.03,0.0
2018-01-02,VZ,0.028342520475797276,215.9,0.0
2018-01-02,UNH,0.028045836380033946,213.64,0.0
2018-01-02,PFE,0.026860412758466328,204.61,0.0
2019-01-02,MSFT,0.10562905570580448,780.36,0.08232897562815053
2019-01-02,AAPL,0.10099299650502049,746.11,0.0
2019-01-02,AMZN,0.09982349135188841,737.47,0.0
2019-01-02,GOOGL,0.09837514584974566,726.77,0.0
2019-01-02,BRK-B,0.06801674124969206,502.49,0.0
2019-01-02,META,0.050642009599688134,374.13,0.0
2019-01-02,JNJ,0.04650001218234534,343.53,0.0
2019-01-02,JPM,0.043287933793013836,319.8,0.0
2019-01-02,V,0.03914728996959828,289.21,0.0
2019-01-02,XOM,0.03910803574570843,288.92,0.0
2019-01-02,WMT,0.036632312452793414,270.63,0.0
2019-01-02,UNH,0.032372552363781074,239.16,0.0
2019-01-02,BAC,0.032248021722475345,238.24,0.0
2019-01-02,PFE,0.03201114278520901,236.49,0.0
2019-01-02,VZ,0.03144398692969704,232.3,0.0
2019-01-02,PG,0.031129953138578238,229.98,0.0
2019-01-02,INTC,0.028688069693844125,211.94,0.0
2019-01-02,WFC,0.02857301421002905,211.09,0.0
2019-01-02,CVX,0.02802345507557115,207.03,0.0
2019-01-02,KO,0.027354779675516465,202.09,0.0
2020-01-02,AAPL,0.13197478543850877,1288.0,0.1795787705973997
2020-01-02,MSFT,0.12295787463215102,1200.0,0.0
2020-01-02,GOOGL,0.09449005270794225,922.17,0.0
2020-01-02,AMZN,0.09429024616166501,920.22,0.0
2020-01-02,META,0.05997987589451854,585.37,0.0
2020-01-02,BRK-B,0.05655857303287894,551.98,0.0
2020-01-02,JPM,0.04405068323592337,429.91,0.0
2020-01-02,V,0.04125953948177354,402.67,0.0
